model,Body_Type,transmission,No_of_owners,centralVariantId,oem,modelYear,Mileage,Fuel_Type,Kilometer,price,City,Car_Age
Ecosport,SUV,Manual,2,909,Ford,2014,22.7,Diesel,120000,450000,Bangalore,10
Jazz,Hatchback,Manual,1,1339,Honda,2017,18.7,Petrol,67633,599000,Bangalore,7
Baleno,Hatchback,Manual,1,3962,Maruti,2016,21.4,Petrol,76794,625000,Bangalore,8
Innova,MUV,Manual,1,2357,Toyota,2011,12.8,Diesel,120000,750000,Bangalore,13
Innova,MUV,Automatic,1,2409,Toyota,2018,11.36,Diesel,59577,2165000,Bangalore,6
Cruze,Sedan,Manual,2,477,Chevrolet,2010,18.3,Diesel,100000,445000,Bangalore,14
Camry,Sedan,Manual,3,2117,Toyota,2004,13.4,Petrol,100000,120000,Bangalore,20
i10,Hatchback,Manual,2,1570,Hyundai,2012,20.36,Petrol,50000,320000,Bangalore,12
Sonet,SUV,Automatic,1,8426,Kia,2022,19.18624891,Diesel,20000,1350000,Bangalore,2
Alto,Hatchback,Manual,2,3919,Maruti,2006,19.7,Petrol,120000,165000,Bangalore,18
Punto,Hatchback,Manual,2,831,Fiat,2018,16.3,Petrol,50000,525000,Bangalore,6
Creta,SUV,Manual,1,1442,Hyundai,2015,19.67,Diesel,80000,888000,Bangalore,9
TUV,SUV,Manual,2,3750,Mahindra,2015,18.49,Diesel,80000,575000,Bangalore,9
Swift,Sedan,Manual,1,5828,Maruti,2017,28.4,Diesel,94932,707000,Bangalore,7
Baleno,Hatchback,Manual,1,3962,Maruti,2016,21.4,Petrol,75140,593000,Bangalore,8
Beat,Hatchback,Manual,1,438,Chevrolet,2011,18.6,Petrol,88000,250000,Bangalore,13
i20,Hatchback,Manual,1,1482,Hyundai,2016,18.6,Petrol,73969,685000,Bangalore,8
Verna,Sedan,Manual,1,1842,Hyundai,2016,17.01,Petrol,62598,699000,Bangalore,8
Corolla,Sedan,Automatic,2,5665,Toyota,2017,14.28,Petrol,70000,1200000,Bangalore,7
Alto,Hatchback,Manual,2,7277,Maruti,2021,22.05,Petrol,24343,425000,Bangalore,3
Polo,Hatchback,Manual,2,1955,Volkswagen,2014,22.07,Diesel,110000,380000,Bangalore,10
Polo,Hatchback,Manual,2,1947,Volkswagen,2017,16.2,Petrol,58917,574000,Bangalore,7
Swift,Hatchback,Manual,1,10403,Maruti,2016,22.38,Petrol,72338,573000,Bangalore,8
Indica,Hatchback,Manual,1,2519,Tata,2003,17.88,Diesel,50000,70000,Bangalore,21
XUV500,SUV,Manual,3,3801,Mahindra,2015,16,Diesel,110000,685000,Bangalore,9
Brio,Hatchback,Automatic,2,1199,Honda,2012,18.4,Petrol,41000,425000,Bangalore,12
i10,Hatchback,Automatic,2,1583,Hyundai,2009,19.2,Petrol,70000,265000,Bangalore,15
Swift,Sedan,Manual,1,4226,Maruti,2019,17.5,Petrol,25887,600000,Bangalore,5
City,Sedan,Manual,1,1215,Honda,2016,17.8,Petrol,40000,650000,Bangalore,8
Swift,Hatchback,Manual,1,4164,Maruti,2015,25.2,Diesel,50000,430000,Bangalore,9
Eeco,Minivans,Manual,1,7346,Maruti,2021,16.11,Petrol,10000,530000,Bangalore,3
Polo,Hatchback,Manual,1,7745,Volkswagen,2022,18.24,Petrol,20000,1075000,Bangalore,2
Verna,Sedan,Manual,2,5967,Hyundai,2017,17,Petrol,60000,750000,Bangalore,7
i20,Hatchback,Manual,2,1482,Hyundai,2017,18.6,Petrol,64235,615000,Bangalore,7
Baleno,Hatchback,Manual,1,3968,Maruti,2018,27.39,Diesel,83873,746000,Bangalore,6
Rapid,Sedan,Manual,2,3168,Skoda,2012,20.5,Diesel,120000,370000,Bangalore,12
Verna,Sedan,Manual,2,1775,Hyundai,2016,17.01,Petrol,93059,667000,Bangalore,8
Baleno,Hatchback,Manual,1,3962,Maruti,2017,21.4,Petrol,45681,634000,Bangalore,7
1000,Sedan,Manual,3,3872,Maruti,1998,15,Petrol,50000,40000,Bangalore,26
Jazz,Hatchback,Manual,2,1339,Honda,2017,18.7,Petrol,45938,579000,Bangalore,7
Baleno,Hatchback,Manual,1,3962,Maruti,2018,21.4,Petrol,40000,509999,Bangalore,6
Swift,Hatchback,Manual,2,10407,Maruti,2018,22.38,Petrol,57423,634000,Bangalore,6
Grand,Hatchback,Automatic,1,1544,Hyundai,2015,18.9,Petrol,60942,527000,Bangalore,9
Creta,SUV,Automatic,1,1452,Hyundai,2018,13,Petrol,70000,900000,Bangalore,6
Compass,SUV,Manual,2,5929,Jeep,2018,17.1,Diesel,80000,1500000,Bangalore,6
C5,SUV,Automatic,1,8326,Citroen,2021,18.6,Diesel,19875,3000000,Bangalore,3
XUV700,SUV,Automatic,1,8626,Mahindra,2022,19.18624891,Diesel,20000,2750000,Bangalore,2
Grand,Hatchback,Manual,2,7091,Hyundai,2021,20.7,Petrol,10000,650000,Bangalore,3
Innova,MUV,Manual,2,2384,Toyota,2012,12.99,Diesel,120000,965000,Bangalore,12
Tiguan,SUV,Automatic,1,7892,Volkswagen,2022,12.65,Petrol,20000,3600000,Bangalore,2
Verna,Sedan,Manual,4,1821,Hyundai,2013,22.32,Diesel,120000,400000,Bangalore,11
Linea,Sedan,Manual,1,768,Fiat,2009,16,Petrol,50000,300000,Bangalore,15
3,Sedan,Automatic,1,6631,BMW,2018,21.76,Diesel,30000,3400000,Bangalore,6
i20,Hatchback,Manual,1,8159,Hyundai,2020,20,Petrol,14949,982000,Bangalore,4
Baleno,Hatchback,Automatic,1,5920,Maruti,2017,21.4,Petrol,77995,674000,Bangalore,7
Nexon,SUV,Manual,1,7988,Tata,2021,17.33,Petrol,20000,810000,Bangalore,3
Ciaz,Sedan,Manual,1,7408,Maruti,2020,20.65,Petrol,40908,792000,Bangalore,4
Grand,Hatchback,Automatic,2,1523,Hyundai,2016,18.9,Petrol,39693,513000,Bangalore,8
Verna,Sedan,Manual,1,1802,Hyundai,2010,16.2,Petrol,40000,360000,Bangalore,14
Swift,Hatchback,Manual,1,10403,Maruti,2016,22.38,Petrol,63411,579000,Bangalore,8
Swift,Hatchback,Manual,1,6323,Maruti,2018,22,Petrol,30000,550000,Bangalore,6
Grand,Hatchback,Manual,2,1549,Hyundai,2014,18.9,Petrol,94221,383000,Bangalore,10
i20,Hatchback,Manual,1,5701,Hyundai,2017,18.6,Petrol,93975,605000,Bangalore,7
XUV300,SUV,Manual,1,7241,Mahindra,2019,16.82,Petrol,30000,985000,Bangalore,5
Polo,Hatchback,Manual,2,7745,Volkswagen,2020,18.24,Petrol,30155,935000,Bangalore,4
Polo,Hatchback,Manual,2,1973,Volkswagen,2016,16.47,Petrol,59006,675000,Bangalore,8
Zen,Hatchback,Manual,4,4391,Maruti,2004,17.3,Petrol,100000,135000,Bangalore,20
Nexon,SUV,Automatic,1,7403,Tata,2022,16.35,Petrol,18570,1345000,Bangalore,2
Innova,MUV,Manual,1,8189,Toyota,2021,12,Diesel,48246,2365000,Bangalore,3
C-Class,Sedan,Automatic,1,4700,Mercedes-Benz,2017,19.27,Diesel,10000,3200000,Bangalore,7
Baleno,Hatchback,Manual,1,3968,Maruti,2016,27.39,Diesel,61263,734000,Bangalore,8
WR-V,SUV,Manual,2,5668,Honda,2017,17.5,Petrol,65507,701000,Bangalore,7
Duster,SUV,Manual,1,5053,Renault,2014,20.46,Diesel,100000,535000,Bangalore,10
WR-V,SUV,Manual,1,5668,Honda,2017,17.5,Petrol,26158,789000,Bangalore,7
Swift,Hatchback,Manual,1,10403,Maruti,2015,22.38,Petrol,35250,548000,Bangalore,9
Quanto,SUV,Manual,1,3598,Mahindra,2012,17.21,Diesel,65965,350000,Bangalore,12
Celerio,Hatchback,Manual,2,10357,Maruti,2015,25.24,Petrol,40304,476999,Bangalore,9
Rover,SUV,Automatic,1,4861,Land Rover,2013,12.35,Diesel,80000,1525000,Bangalore,11
Swift,Hatchback,Manual,1,10403,Maruti,2014,22.38,Petrol,56661,515000,Bangalore,10
i20,Hatchback,Manual,2,1482,Hyundai,2016,18.6,Petrol,90213,562000,Bangalore,8
Vento,Sedan,Manual,3,2008,Volkswagen,2010,15.04,Petrol,70000,345000,Bangalore,14
Verna,Sedan,Manual,4,1821,Hyundai,2013,22.32,Diesel,120000,475000,Bangalore,11
Magnite,SUV,Manual,2,8128,Nissan,2021,18.75,Petrol,10000,670000,Bangalore,3
Jazz,Hatchback,Automatic,1,7979,Honda,2021,17.1,Petrol,20739,950000,Bangalore,3
i20,Hatchback,Manual,2,6811,Hyundai,2020,18.6,Petrol,20000,700000,Bangalore,4
OpelCorsa,Sedan,Manual,1,4797,Opel,2004,14.2,Petrol,70000,80000,Bangalore,20
Thar,SUV,Automatic,1,7959,Mahindra,2021,15.2,Petrol,10000,1500000,Bangalore,3
Cruze,Sedan,Manual,3,477,Chevrolet,2009,18.3,Diesel,60000,370000,Bangalore,15
C-Class,Sedan,Automatic,1,4700,Mercedes-Benz,2017,19.27,Diesel,10000,3200000,Bangalore,7
i20,Hatchback,Manual,1,1476,Hyundai,2015,22.54,Diesel,70000,550000,Bangalore,9
i20,Hatchback,Manual,2,1482,Hyundai,2015,18.6,Petrol,47127,581000,Bangalore,9
Swift,Hatchback,Manual,1,4175,Maruti,2017,20.4,Petrol,47038,582000,Bangalore,7
City,Sedan,Manual,3,1290,Honda,2007,17.7,Petrol,120000,185000,Bangalore,17
Grand,Hatchback,Manual,1,5602,Hyundai,2018,18.9,Petrol,40769,531000,Bangalore,6
Grand,Hatchback,Manual,1,5607,Hyundai,2017,18.9,Petrol,34757,558000,Bangalore,7
Santro,Hatchback,Manual,3,1720,Hyundai,2006,17,Petrol,100000,155000,Bangalore,18
Grand,Hatchback,Automatic,2,1523,Hyundai,2016,18.9,Petrol,88119,508000,Bangalore,8
Fortuner,SUV,Automatic,1,2259,Toyota,2015,12.55,Diesel,120000,2060000,Bangalore,9
Grand,Hatchback,Manual,1,5607,Hyundai,2017,18.9,Petrol,57176,542000,Bangalore,7
Swift,Hatchback,Manual,2,10403,Maruti,2015,22.38,Petrol,62223,501000,Bangalore,9
Ertiga,MUV,Manual,1,6697,Maruti,2018,19.34,Petrol,55000,875000,Bangalore,6
Scorpio,SUV,Manual,1,7766,Mahindra,2020,19.18624891,Diesel,52000,1370000,Bangalore,4
Eeco,Minivans,Manual,1,7345,Maruti,2018,16.11,Petrol,63251,484999,Bangalore,6
i10,Hatchback,Manual,3,1568,Hyundai,2010,20.36,Petrol,20000,300000,Bangalore,14
Cruze,Sedan,Manual,3,477,Chevrolet,2009,18.3,Diesel,60000,350000,Bangalore,15
C5,SUV,Automatic,1,8678,Citroen,2021,18.6,Diesel,20000,3250000,Bangalore,3
Ikon,Sedan,Manual,2,1075,Ford,2004,14.2,Petrol,80000,55000,Bangalore,20
Grand,Hatchback,Automatic,1,5606,Hyundai,2018,18.9,Petrol,40000,630000,Bangalore,6
New,SUV,Automatic,1,8758,Tata,2022,14.08,Diesel,20000,2475000,Bangalore,2
i20,Hatchback,Manual,1,1654,Hyundai,2012,18.5,Petrol,67444,417000,Bangalore,12
Baleno,Hatchback,Automatic,2,3964,Maruti,2016,21.4,Petrol,63837,631000,Bangalore,8
Xylo,MUV,Manual,2,3856,Mahindra,2012,14,Diesel,61000,465000,Bangalore,12
Swift,Hatchback,Manual,1,10403,Maruti,2016,22.38,Petrol,60777,544000,Bangalore,8
Baleno,Hatchback,Manual,2,3969,Maruti,2016,21.4,Petrol,39248,704000,Bangalore,8
5,Sedan,Automatic,1,5871,BMW,2014,18.12,Diesel,66000,1975000,Bangalore,10
Brio,Hatchback,Manual,1,1188,Honda,2015,19.4,Petrol,96198,359000,Bangalore,9
City,Sedan,Automatic,2,1255,Honda,2013,16.8,Petrol,50000,520000,Bangalore,11
Wagon,Hatchback,Manual,3,4310,Maruti,2015,20.51,Petrol,81207,335000,Bangalore,9
Swift,Hatchback,Manual,1,10407,Maruti,2021,22.38,Petrol,48148,766000,Bangalore,3
Celerio,Hatchback,Manual,1,3979,Maruti,2015,23.1,Petrol,120000,350000,Bangalore,9
Zest,Sedan,Manual,3,3018,Tata,2018,20.65,Diesel,90000,480000,Bangalore,6
Thar,SUV,Manual,2,5576,Mahindra,2017,18.06,Diesel,60000,822000,Bangalore,7
Linea,Sedan,Manual,4,768,Fiat,2009,16,Petrol,120000,190000,Bangalore,15
New,Sedan,Automatic,3,1379,Honda,2008,11.7,Petrol,70000,600000,Bangalore,16
XUV300,SUV,Manual,1,8578,Mahindra,2022,20.1,Diesel,30000,994999,Bangalore,2
Omni,Hatchback,Manual,3,4134,Maruti,2001,14,Petrol,30000,120000,Bangalore,23
Terrano,SUV,Manual,2,3363,Nissan,2013,19.01,Diesel,120000,575000,Bangalore,11
GLC,SUV,Automatic,2,7066,Mercedes-Benz,2018,17.9,Diesel,64389,3795000,Bangalore,6
Alto,Hatchback,Manual,2,3943,Maruti,2014,22.74,Petrol,60000,260000,Bangalore,10
Swift,Hatchback,Manual,1,10403,Maruti,2015,22.38,Petrol,67245,539000,Bangalore,9
Verna,Sedan,Automatic,2,5969,Hyundai,2018,17,Petrol,30518,1006000,Bangalore,6
A-Class,Sedan,Automatic,1,6373,Mercedes-Benz,2022,19.18624891,Petrol,20000,3900000,Bangalore,2
Ciaz,Sedan,Manual,1,5720,Maruti,2018,28.09,Diesel,102407,796000,Bangalore,6
i20,Hatchback,Manual,1,1482,Hyundai,2015,18.6,Petrol,53606,636000,Bangalore,9
Yeti,SUV,Manual,1,3227,Skoda,2015,17.67,Diesel,90000,1400000,Bangalore,9
Baleno,Hatchback,Manual,2,3969,Maruti,2016,21.4,Petrol,44253,615000,Bangalore,8
Eeco,Minivans,Manual,1,7706,Maruti,2021,19.18624891,Cng,40000,500000,Bangalore,3
Tiago,Hatchback,Manual,1,7377,Tata,2021,19.01,Petrol,34702,718000,Bangalore,3
Swift,Hatchback,Manual,1,10403,Maruti,2012,22.38,Petrol,42762,436000,Bangalore,12
Alto,Hatchback,Manual,2,3945,Maruti,2015,23.95,Petrol,50000,280000,Bangalore,9
Triber,MUV,Automatic,1,6996,Renault,2022,18.2,Petrol,30000,780000,Bangalore,2
XUV500,SUV,Automatic,2,3817,Mahindra,2016,16,Diesel,80000,900000,Bangalore,8
Ertiga,MUV,Manual,1,8956,Maruti,2022,26.11,Cng,20000,1300000,Bangalore,2
SX4,Sedan,Manual,2,4251,Maruti,2014,22.1,Cng,50000,300000,Bangalore,10
XE,Sedan,Automatic,1,5001,Jaguar,2019,13.5,Petrol,28000,3675000,Bangalore,5
Swift,Sedan,Manual,1,7077,Maruti,2020,21.21,Petrol,40000,670000,Bangalore,4
Baleno,Hatchback,Manual,1,6776,Maruti,2020,21.01,Petrol,10000,900000,Bangalore,4
Baleno,Hatchback,Manual,1,3969,Maruti,2016,21.4,Petrol,60000,600000,Bangalore,8
Spark,Hatchback,Manual,4,593,Chevrolet,2008,18,Petrol,110000,110000,Bangalore,16
i20,Hatchback,Manual,1,1483,Hyundai,2016,18.6,Petrol,57459,605000,Bangalore,8
Grand,Hatchback,Manual,1,5607,Hyundai,2017,18.9,Petrol,70381,559000,Bangalore,7
Polo,Hatchback,Manual,3,1966,Volkswagen,2012,22.07,Diesel,90000,268000,Bangalore,12
Ciaz,Sedan,Manual,1,7410,Maruti,2020,20.65,Petrol,80648,780000,Bangalore,4
Creta,SUV,Manual,2,8179,Hyundai,2016,13,Petrol,81853,864000,Bangalore,8
Santro,Hatchback,Manual,1,1711,Hyundai,2009,17.92,Petrol,40000,240000,Bangalore,15
Brio,Hatchback,Manual,1,1203,Honda,2012,19.4,Petrol,90802,341000,Bangalore,12
Santro,Hatchback,Manual,1,1711,Hyundai,2009,17.92,Petrol,40000,240000,Bangalore,15
Santro,Hatchback,Manual,1,7457,Hyundai,2021,20.3,Petrol,16502,513000,Bangalore,3
Ignis,Hatchback,Manual,1,5556,Maruti,2021,20.89,Petrol,31530,661000,Bangalore,3
Ertiga,MUV,Manual,2,4045,Maruti,2017,24.52,Diesel,120000,800000,Bangalore,7
Swift,Hatchback,Manual,2,4164,Maruti,2015,25.2,Diesel,80000,520000,Bangalore,9
City,Sedan,Automatic,1,1214,Honda,2014,18,Petrol,71086,600000,Bangalore,10
Ritz,Hatchback,Manual,2,4152,Maruti,2011,21.1,Diesel,110000,300000,Bangalore,13
Endeavour,SUV,Automatic,1,916,Ford,2020,10.91,Diesel,50000,3750000,Bangalore,4
i20,Hatchback,Automatic,1,8584,Hyundai,2021,20.25,Petrol,18000,1295000,Bangalore,3
City,Sedan,Manual,2,1275,Honda,2014,17.4,Petrol,60000,630000,Bangalore,10
Tavera,MUV,Manual,3,5788,Chevrolet,2016,13.58,Diesel,120000,475000,Bangalore,8
i10,Hatchback,Manual,2,1570,Hyundai,2011,20.36,Petrol,70000,275000,Bangalore,13
Jazz,Hatchback,Automatic,4,1340,Honda,2016,19,Petrol,25000,575000,Bangalore,8
Brio,Hatchback,Manual,1,1203,Honda,2012,19.4,Petrol,69210,338000,Bangalore,12
Jazz,Hatchback,Manual,2,1341,Honda,2018,18.7,Petrol,71165,604000,Bangalore,6
X7,SUV,Automatic,1,7032,BMW,2022,10.54,Petrol,10000,13000000,Bangalore,2
Swift,Sedan,Manual,3,4227,Maruti,2010,19.3,Diesel,86543,327000,Bangalore,14
Baleno,Hatchback,Automatic,1,3964,Maruti,2016,21.4,Petrol,67225,621000,Bangalore,8
Indica,Hatchback,Manual,3,2514,Tata,2017,25,Diesel,100000,240000,Bangalore,7
Grand,Hatchback,Manual,1,5607,Hyundai,2018,18.9,Petrol,16247,621000,Bangalore,6
Renault,Sedan,Manual,2,4758,Mahindra Renault,2007,15.7,Petrol,80000,140000,Bangalore,17
Baleno,Hatchback,Automatic,2,3964,Maruti,2017,21.4,Petrol,39481,708000,Bangalore,7
Celerio,Hatchback,Manual,2,10356,Maruti,2018,25.24,Petrol,61227,443000,Bangalore,6
City,Sedan,Manual,4,1290,Honda,2006,17.7,Petrol,80000,180000,Bangalore,18
Duster,SUV,Manual,1,5068,Renault,2016,19.01,Diesel,112521,700000,Bangalore,8
Hector,SUV,Manual,1,7632,MG,2020,17.41,Diesel,20000,1800000,Bangalore,4
City,Sedan,Automatic,1,7905,Honda,2021,18.3,Petrol,20000,1450000,Bangalore,3
Ameo,Sedan,Manual,2,1883,Volkswagen,2016,17,Petrol,60000,520000,Bangalore,8
Tiago,Hatchback,Manual,2,2983,Tata,2018,23.84,Petrol,40000,470000,Bangalore,6
Duster,SUV,Manual,1,5076,Renault,2016,19.64,Diesel,50000,600000,Bangalore,8
Q3,SUV,Automatic,2,90,Audi,2016,15.17,Diesel,100000,1850000,Bangalore,8
e2o,Hatchback,Automatic,2,5478,Mahindra,2017,19.18624891,Electric,20000,459999,Bangalore,7
OpelCorsa,Sedan,Manual,2,4802,Opel,2003,13.8,Petrol,110000,75000,Bangalore,21
Baleno,Hatchback,Manual,2,3969,Maruti,2017,21.4,Petrol,63359,649000,Bangalore,7
i20,Hatchback,Manual,2,1488,Hyundai,2017,22.54,Diesel,125227,657000,Bangalore,7
Polo,Hatchback,Manual,2,1953,Volkswagen,2012,22.07,Diesel,100000,420000,Bangalore,12
Swift,Hatchback,Manual,2,4165,Maruti,2015,25.2,Diesel,71884,629000,Bangalore,9
Brio,Hatchback,Manual,2,1203,Honda,2012,19.4,Petrol,79059,322000,Bangalore,12
Baleno,Hatchback,Manual,2,3962,Maruti,2016,21.4,Petrol,80000,620000,Bangalore,8
Swift,Hatchback,Manual,1,10403,Maruti,2013,22.38,Petrol,69124,434999,Bangalore,11
Innova,MUV,Manual,4,2386,Toyota,2012,12.99,Diesel,120000,960000,Bangalore,12
Ritz,Hatchback,Manual,1,4141,Maruti,2010,18.5,Petrol,73340,317000,Bangalore,14
Grand,Hatchback,Manual,2,5607,Hyundai,2017,18.9,Petrol,44268,574000,Bangalore,7
C3,Hatchback,Manual,1,9139,Citroen,2022,19.3,Petrol,10000,780000,Bangalore,2
Jazz,Hatchback,Manual,1,1341,Honda,2018,18.7,Petrol,60000,800000,Bangalore,6
City,Sedan,Manual,1,6909,Honda,2020,18.6,Petrol,30000,925000,Bangalore,4
Ciaz,Sedan,Manual,1,4007,Maruti,2017,20.73,Petrol,50000,775000,Bangalore,7
Nano,Hatchback,Manual,2,2796,Tata,2011,26,Petrol,80000,70000,Bangalore,13
Duster,SUV,Manual,2,5068,Renault,2014,19.01,Diesel,70000,500000,Bangalore,10
Swift,Sedan,Manual,2,4227,Maruti,2009,19.3,Diesel,120000,350000,Bangalore,15
Innova,MUV,Manual,2,2384,Toyota,2012,12.99,Diesel,120000,1125000,Bangalore,12
Amaze,Sedan,Automatic,2,7445,Honda,2020,18.3,Petrol,20000,830000,Bangalore,4
Seltos,SUV,Automatic,1,7116,Kia,2020,17.8,Diesel,37354,1475000,Bangalore,4
XUV500,SUV,Manual,2,3822,Mahindra,2014,15.1,Diesel,80426,834000,Bangalore,10
Ciaz,Sedan,Manual,1,4006,Maruti,2016,20.73,Petrol,89801,674000,Bangalore,8
OpelCorsa,Sedan,Manual,4,4797,Opel,2004,14.2,Petrol,120000,65000,Bangalore,20
Grand,Hatchback,Manual,2,5607,Hyundai,2019,18.9,Petrol,69199,547000,Bangalore,5
Swift,Hatchback,Manual,3,10403,Maruti,2012,22.38,Petrol,78249,413000,Bangalore,12
Innova,MUV,Manual,1,2410,Toyota,2018,13.68,Diesel,26918,2325000,Bangalore,6
Swift,Hatchback,Manual,1,10403,Maruti,2021,22.38,Petrol,29905,709000,Bangalore,3
Innova,MUV,Automatic,2,2403,Toyota,2018,11.36,Diesel,37678,2295000,Bangalore,6
Jazz,Hatchback,Manual,2,1341,Honda,2017,18.7,Petrol,60442,528000,Bangalore,7
Duster,SUV,Manual,1,5067,Renault,2014,20.45,Diesel,66463,691000,Bangalore,10
Rapid,Sedan,Automatic,1,7981,Skoda,2020,16.24,Petrol,40844,1145000,Bangalore,4
Polo,Hatchback,Manual,1,9001,Volkswagen,2021,19.18624891,Petrol,62696,855000,Bangalore,3
Swift,Hatchback,Automatic,1,7057,Maruti,2021,21.21,Petrol,30000,800000,Bangalore,3
Aspire,Sedan,Manual,1,1057,Ford,2017,18.16,Petrol,44000,550000,Bangalore,7
i20,Hatchback,Manual,2,1644,Hyundai,2012,18.5,Petrol,70000,400000,Bangalore,12
Indica,Hatchback,Manual,1,2514,Tata,2012,25,Diesel,120000,130000,Bangalore,12
Verna,Sedan,Manual,4,1817,Hyundai,2012,22.32,Diesel,120000,375000,Bangalore,12
Swift,Sedan,Manual,1,7077,Maruti,2020,21.21,Petrol,40000,650000,Bangalore,4
Compass,SUV,Automatic,1,8318,Jeep,2021,14.1,Petrol,10000,2550000,Bangalore,3
Sonet,SUV,Manual,1,8012,Kia,2021,19.18624891,Diesel,80000,1300000,Bangalore,3
Baleno,Hatchback,Manual,1,3970,Maruti,2016,21.4,Petrol,79415,609000,Bangalore,8
Swift,Sedan,Automatic,1,4214,Maruti,2017,26.59,Diesel,88411,678000,Bangalore,7
Vento,Sedan,Manual,4,2011,Volkswagen,2011,20.54,Diesel,120000,375000,Bangalore,13
Swift,Hatchback,Manual,1,4204,Maruti,2012,22.9,Diesel,106516,449000,Bangalore,12
Swift,Hatchback,Manual,2,4164,Maruti,2015,25.2,Diesel,88509,552000,Bangalore,9
XUV500,SUV,Manual,1,8981,Mahindra,2015,15.1,Diesel,120000,925000,Bangalore,9
Ikon,Sedan,Manual,2,1075,Ford,2004,14.2,Petrol,80000,56000,Bangalore,20
Swift,Hatchback,Manual,1,10402,Maruti,2013,22.38,Petrol,44437,426000,Bangalore,11
i20,Hatchback,Manual,2,1487,Hyundai,2015,22.54,Diesel,83731,607000,Bangalore,9
Ikon,Sedan,Manual,2,1075,Ford,2004,14.2,Petrol,80000,56000,Bangalore,20
Bolero,SUV,Manual,1,6483,Mahindra,2018,16.5,Diesel,77000,844999,Bangalore,6
Hector,SUV,Automatic,2,8258,MG,2020,19.18624891,Petrol,23000,1650000,Bangalore,4
Figo,Hatchback,Manual,3,1040,Ford,2012,20,Diesel,110000,240000,Bangalore,12
Wagon,Hatchback,Automatic,1,7055,Maruti,2022,20.52,Petrol,30000,680000,Bangalore,2
Innova,MUV,Manual,2,2300,Toyota,2006,12.8,Diesel,120000,500000,Bangalore,18
Manza,Sedan,Manual,2,2754,Tata,2011,13.7,Petrol,60000,250000,Bangalore,13
Baleno,Hatchback,Manual,1,3970,Maruti,2018,21.4,Petrol,80000,720000,Bangalore,6
Nano,Hatchback,Manual,4,2796,Tata,2011,26,Petrol,110000,60000,Bangalore,13
Superb,Sedan,Automatic,5,3204,Skoda,2010,12.6,Petrol,70000,357000,Bangalore,14
Ciaz,Sedan,Manual,1,6550,Maruti,2018,21.56,Petrol,45621,798000,Bangalore,6
Captur,SUV,Manual,2,6101,Renault,2018,20.37,Diesel,38199,858000,Bangalore,6
Esteem,Sedan,Manual,3,4075,Maruti,2004,15.9,Petrol,90000,80000,Bangalore,20
i20,Hatchback,Manual,1,1483,Hyundai,2016,18.6,Petrol,91660,608000,Bangalore,8
City,Sedan,Manual,2,1280,Honda,2015,17.4,Petrol,51947,698000,Bangalore,9
Hexa,MUV,Manual,2,2501,Tata,2018,17.6,Diesel,80000,1250000,Bangalore,6
SX4,SUV,Manual,2,4277,Maruti,2016,23.65,Diesel,76836,751000,Bangalore,8
Brio,Hatchback,Automatic,2,1193,Honda,2015,16.5,Petrol,27000,535000,Bangalore,9
Verna,Sedan,Automatic,1,5969,Hyundai,2017,17,Petrol,33222,1035000,Bangalore,7
i10,Hatchback,Manual,1,1577,Hyundai,2013,19.81,Petrol,47333,328000,Bangalore,11
Grand,Hatchback,Automatic,1,7092,Hyundai,2021,20.7,Petrol,20000,725000,Bangalore,3
Verna,Sedan,Manual,1,1779,Hyundai,2017,17.01,Petrol,46000,740000,Bangalore,7
Innova,MUV,Manual,1,2275,Toyota,2012,12.99,Diesel,68000,875000,Bangalore,12
Micra,Hatchback,Manual,2,3308,Nissan,2015,19.69,Petrol,40000,480000,Bangalore,9
Lancer,Sedan,Manual,2,3396,Mitsubishi,2001,14.8,Diesel,90000,76000,Bangalore,23
Fiesta,Sedan,Manual,1,995,Ford,2010,15.3,Petrol,80000,190000,Bangalore,14
i10,Hatchback,Manual,4,1567,Hyundai,2010,19.81,Petrol,90000,210000,Bangalore,14
Swift,Hatchback,Manual,1,4164,Maruti,2014,25.2,Diesel,80000,480000,Bangalore,10
Verna,Sedan,Manual,2,1825,Hyundai,2012,22.32,Diesel,150000,380000,Bangalore,12
Nexon,SUV,Manual,1,8893,Tata,2022,17.57,Petrol,20000,1280000,Bangalore,2
Ecosport,SUV,Automatic,1,889,Ford,2016,15.63,Petrol,43791,770000,Bangalore,8
Swift,Hatchback,Automatic,1,10404,Maruti,2018,22.56,Petrol,87660,599000,Bangalore,6
XUV500,SUV,Automatic,5,3810,Mahindra,2016,16,Diesel,90000,800000,Bangalore,8
Santro,Hatchback,Manual,3,1711,Hyundai,2011,17.92,Petrol,71938,231999,Bangalore,13
Verna,Sedan,Manual,2,1832,Hyundai,2013,17.01,Petrol,104938,525000,Bangalore,11
City,Sedan,Manual,1,7260,Honda,2020,17.4,Petrol,30000,950000,Bangalore,4
Rapid,Sedan,Manual,2,3140,Skoda,2017,15.41,Petrol,124707,635000,Bangalore,7
Polo,Hatchback,Manual,2,1954,Volkswagen,2012,22.07,Diesel,70000,400000,Bangalore,12
Creta,SUV,Manual,1,8179,Hyundai,2017,13,Petrol,88556,966000,Bangalore,7
Ecosport,SUV,Manual,1,892,Ford,2017,22.77,Diesel,48743,781000,Bangalore,7
X3,SUV,Automatic,2,349,BMW,2016,18.56,Diesel,100000,2800000,Bangalore,8
