model,Body_Type,transmission,No_of_owners,centralVariantId,oem,modelYear,Mileage,Fuel_Type,Kilometer,price,City,Car_Age
Alto,Hatchback,Manual,2,3946,Maruti,2014,23.95,Petrol,60333,270000,Chennai,10
Grand,Hatchback,Manual,1,5598,Hyundai,2014,24,Diesel,81058,365000,Chennai,10
Civic,Sedan,Manual,2,1300,Honda,2010,13.5,Petrol,51800,425000,Chennai,14
Grand,Hatchback,Manual,2,1550,Hyundai,2016,18.9,Petrol,32797,528000,Chennai,8
Grand,Hatchback,Manual,1,1550,Hyundai,2016,18.9,Petrol,69731,511000,Chennai,8
City,Sedan,Manual,2,1215,Honda,2016,17.8,Petrol,54000,625000,Chennai,8
Micra,Hatchback,Manual,2,6540,Nissan,2016,19.49,Petrol,110267,327000,Chennai,8
KUV,SUV,Manual,1,3556,Mahindra,2018,18.15,Petrol,31767,505000,Chennai,6
WR-V,SUV,Manual,2,5668,Honda,2018,17.5,Petrol,45677,640000,Chennai,6
Celerio,Hatchback,Manual,1,10357,Maruti,2017,25.24,Petrol,66656,449000,Chennai,7
Amaze,Sedan,Manual,1,7447,Honda,2019,24.7,Diesel,27000,725000,Chennai,5
KWID,Hatchback,Manual,1,7431,Renault,2021,21.74,Petrol,37004,495000,Chennai,3
i10,Hatchback,Manual,2,1568,Hyundai,2011,20.36,Petrol,85274,271000,Chennai,13
Creta,SUV,Manual,2,1442,Hyundai,2017,19.67,Diesel,60000,940000,Chennai,7
City,Sedan,Manual,1,7260,Honda,2017,17.4,Petrol,42000,799000,Chennai,7
Creta,SUV,Manual,1,7699,Hyundai,2022,19.18624891,Diesel,20000,1850000,Chennai,2
Carens,MUV,Automatic,1,8786,Kia,2022,19.18624891,Diesel,30000,2000000,Chennai,2
E-Class,Sedan,Automatic,1,7061,Mercedes-Benz,2017,16.1,Diesel,25000,4500000,Chennai,7
XUV500,SUV,Manual,3,3822,Mahindra,2014,15.1,Diesel,80000,700000,Chennai,10
Verna,Sedan,Manual,2,1820,Hyundai,2015,17.1,Petrol,60000,585000,Chennai,9
Harrier,SUV,Manual,1,7423,Tata,2022,16.35,Diesel,20000,2050000,Chennai,2
Hector,SUV,Automatic,1,8343,MG,2022,19.18624891,Petrol,20000,1989999,Chennai,2
Hector,SUV,Automatic,1,8343,MG,2022,19.18624891,Petrol,20000,1989999,Chennai,2
