model,Body,transmission,owners,VIN,model_year,Mileage,Fuel,Kilometer,price,City,Car_Age,model_encoded,Body_encoded,transmission_encoded,Fuel_encoded,price_encoded,City_encoded
0.322580645,0.222222222,1,2,0.504732714,2017,0.438264739,1,0.702698723,521000,0.2,0.157894737,10,2,1,4,862,1
0.612903226,0.888888889,1,1,0.923014514,2016,0.568409344,1,0.739553699,507000,0.2,0.184210526,19,8,1,4,848,1
0.451612903,0.777777778,0,1,0.806364374,2019,0.449017427,0.25,0.664227711,1625000,0.2,0.105263158,14,7,0,1,286,1
0.322580645,0.222222222,1,2,0.139277022,2016,0.438264739,1,0.712763207,528000,0.2,0.184210526,10,2,1,4,869,1
0.612903226,0.222222222,1,1,0.637338862,2021,0.555061179,1,0.616988194,435000,0.2,0.052631579,19,2,1,4,734,1
0.967741935,0.777777778,0,1,0.775624268,2022,0.420096403,1,0.599586744,1490000,0.2,0.026315789,30,7,0,4,246,1
0.870967742,0.777777778,0,1,0.781664113,2022,0.436781609,1,0.641247381,1790000,0.2,0.026315789,27,7,0,4,323,1
0.290322581,0.777777778,1,1,0.493103759,2017,0.386355209,1,0.67303055,625000,0.2,0.157894737,9,7,1,4,1006,1
0.322580645,0.222222222,1,1,0.638781213,2022,0.505005562,1,0.638103891,690000,0.2,0.026315789,10,2,1,4,1071,1
0.451612903,0.777777778,1,1,0.721626251,2022,0.412309974,1,0.593446312,1350000,0.2,0.026315789,14,7,1,4,207,1
0.548387097,0.777777778,0,1,0.780582349,2022,0.286985539,1,0.638103891,1550000,0.2,0.026315789,17,7,0,4,263,1
0.935483871,0.222222222,0,1,0.628594609,2019,0.462736374,1,0.693153656,790000,0.2,0.105263158,29,2,0,4,1193,1
0.612903226,0.222222222,1,2,0.355269089,2014,0.625509826,1,0.70924404,270000,0.2,0.236842105,19,2,1,4,427,1
0.322580645,0.222222222,1,1,0.504191833,2014,0.627363737,0.25,0.728269592,365000,0.2,0.236842105,10,2,1,1,608,1
0.290322581,0.888888889,1,2,0.116740287,2010,0.238042269,1,0.699419053,425000,0.2,0.342105263,9,8,1,4,724,1
0.322580645,0.222222222,1,2,0.139277022,2016,0.438264739,1,0.669970967,528000,0.2,0.184210526,10,2,1,4,869,1
0.322580645,0.222222222,1,1,0.139277022,2016,0.438264739,1,0.718571431,511000,0.2,0.184210526,10,2,1,4,852,1
0.290322581,0.888888889,1,2,0.109077797,2016,0.39747868,1,0.702098977,625000,0.2,0.184210526,9,8,1,4,1006,1
0.741935484,0.222222222,1,2,0.58911025,2016,0.460140897,1,0.748097643,327000,0.2,0.184210526,23,2,1,4,571,1
0.580645161,0.777777778,1,1,0.320111782,2018,0.410456062,1,0.667915071,505000,0.2,0.131578947,18,7,1,4,846,1
0.290322581,0.777777778,1,2,0.510502118,2018,0.386355209,1,0.69131399,640000,0.2,0.131578947,9,7,1,4,1021,1
